data,abev3_sa_close,petr3_sa_close,vale3_sa_close
2018-07-19,18.879999,20.889999,49.43
2018-07-20,18.790001,21.42,48.720001
2018-07-23,18.65,21.52,49.599998
2018-07-24,18.969999,21.9,51.310001
2018-07-25,18.9,22.18,51.75
2018-07-26,19.889999,21.620001,52.779999
2018-07-27,19.809999,22.1,53.450001
2018-07-30,19.700001,22.059999,54.330002
2018-07-31,19.41,21.940001,54.84
2018-08-01,19.450001,22.07,53.060001
2018-08-02,19.290001,22.440001,52.84
2018-08-03,19.299999,23.219999,52.549999
2018-08-06,19.299999,23.299999,52.400002
2018-08-07,19.17,23.209999,52.75
2018-08-08,19.16,22.74,52.400002
2018-08-09,19.27,22.76,51.84
2018-08-10,18.91,22.16,51.709999
2018-08-13,19.139999,22.4,52.279999
2018-08-14,19.41,22.26,52.759998
2018-08-15,19.42,21.379999,50.41
2018-08-16,19.01,21.290001,49.720001
2018-08-17,19.18,20.950001,50.799999
2018-08-20,19.15,21,51.439999
2018-08-21,18.98,20.65,51.73
2018-08-22,18.9,21.26,53.299999
2018-08-23,18.940001,20.969999,53.349998
2018-08-24,19.07,21.09,54.150002
2018-08-27,19.129999,21.450001,55.669998
2018-08-28,19.1,21.24,55.650002
2018-08-29,19.25,22.17,55.220001
2018-08-30,19,21.68,54.57
2018-08-31,18.85,22.08,53.619999
2018-09-03,18.629999,21.75,54.049999
2018-09-04,18.01,21.52,52
2018-09-05,18.139999,21.73,52.150002
2018-09-06,18.32,21.92,53.48
2018-09-10,18.290001,22.200001,53.220001
2018-09-11,18.190001,21.58,52.59
2018-09-12,18.450001,22.16,53.450001
2018-09-13,18.33,21.85,53.779999
2018-09-14,18.23,22,55.200001
2018-09-17,18.360001,22.469999,55.040001
2018-09-18,18.790001,23.280001,57.34
2018-09-19,18.790001,23.15,58.580002
2018-09-20,18.75,22.99,59.32
2018-09-21,18.85,23.27,61.009998
2018-09-24,18.389999,23.15,60.200001
2018-09-25,18.4,23.27,62.200001
2018-09-26,18.700001,23.360001,60.009998
2018-09-27,18.48,24.5,59.48
2018-09-28,18.34,24.23,59.82
2018-10-01,18.43,24.18,60.400002
2018-10-02,18.25,25.809999,61.200001
2018-10-03,18.129999,26.48,59.950001
2018-10-04,17.870001,26.76,58.799999
2018-10-05,17.65,26.66,57.490002
2018-10-08,18,29.190001,57.049999
2018-10-09,17.48,29.73,57.700001
2018-10-10,17.200001,28.629999,55.889999
2018-10-11,16.99,28.1,56.48
2018-10-15,16.93,28.75,57.669998
2018-10-16,17.41,29.799999,57.700001
2018-10-17,17.049999,29.6,58.799999
2018-10-18,16.65,28.65,56.5
2018-10-19,16.860001,28.940001,56.529999
2018-10-22,16.82,29.719999,58.369999
2018-10-23,16.629999,29.16,56.75
2018-10-24,15.89,28.32,54.43
2018-10-25,15,28.91,54.610001
2018-10-26,15.19,30,55.599998
2018-10-29,15.43,28.92,53.099998
2018-10-30,16.049999,30.52,53.869999
2018-10-31,16.34,30.32,56.709999
2018-11-01,16.370001,29.77,57.5
2018-11-05,16.459999,30.65,57.529999
2018-11-06,16.639999,29.860001,57.23
2018-11-07,16.35,29.200001,57.59
2018-11-08,15.71,28.24,57.02
2018-11-09,16.08,28.129999,54.650002
2018-11-12,15.95,27.99,54.849998
2018-11-13,15.76,26.700001,56.27
2018-11-14,16.030001,27.190001,55.16
2018-11-16,16.5,28.049999,56.150002
2018-11-19,16.459999,28.030001,55.369999
2018-11-21,16.379999,27.379999,54.529999
2018-11-22,16.5,27.33,54.040001
2018-11-23,16.200001,26.690001,50.349998
2018-11-26,16.15,27.1,50.119999
2018-11-27,16.540001,28.02,49.919998
2018-11-28,16.690001,27.67,52.299999
2018-11-29,16.639999,27.85,52
2018-11-30,16.92,28.129999,52.799999
2018-12-03,16.74,28.93,54.110001
2018-12-04,16.65,28.42,52.880001
2018-12-05,16.540001,28.59,52.799999
2018-12-06,16.389999,27.4,52.299999
2018-12-07,16.110001,27.85,51.290001
2018-12-10,15.89,26.469999,50.200001
2018-12-11,15.95,26.299999,50.599998
2018-12-12,15.95,26.389999,50.369999
2018-12-13,16.32,26.530001,50.599998
